,State,Area_name,First Word of Each County,Abbreivation,# Employed,# Unemployed
282,Colorado,"Kiowa County, CO",Kiowa,ColoradoKiowa,934,22
283,Colorado,"Kit Carson County, CO",Kit,ColoradoKit,4130,119
284,Colorado,"Lake County, CO",Lake,ColoradoLake,4454,399
285,Colorado,"La Plata County, CO",La,ColoradoLa,29219,2147
286,Colorado,"Larimer County, CO",Larimer,ColoradoLarimer,190842,12841
287,Colorado,"Las Animas County, CO",Las,ColoradoLas,6014,483
288,Colorado,"Lincoln County, CO",Lincoln,ColoradoLincoln,2269,106
289,Colorado,"Logan County, CO",Logan,ColoradoLogan,10495,522
290,Colorado,"Mesa County, CO",Mesa,ColoradoMesa,69917,5634
291,Colorado,"Mineral County, CO",Mineral,ColoradoMineral,442,27
292,Colorado,"Moffat County, CO",Moffat,ColoradoMoffat,6849,436
293,Colorado,"Montezuma County, CO",Montezuma,ColoradoMontezuma,11795,908
294,Colorado,"Montrose County, CO",Montrose,ColoradoMontrose,20208,1431
295,Colorado,"Morgan County, CO",Morgan,ColoradoMorgan,15254,871
296,Colorado,"Otero County, CO",Otero,ColoradoOtero,7720,508
297,Colorado,"Ouray County, CO",Ouray,ColoradoOuray,2292,201
298,Colorado,"Park County, CO",Park,ColoradoPark,10480,634
299,Colorado,"Phillips County, CO",Phillips,ColoradoPhillips,2401,66
300,Colorado,"Pitkin County, CO",Pitkin,ColoradoPitkin,10077,1176
301,Colorado,"Prowers County, CO",Prowers,ColoradoProwers,5937,276
302,Colorado,"Pueblo County, CO",Pueblo,ColoradoPueblo,71037,6318
303,Colorado,"Rio Blanco County, CO",Rio,ColoradoRio,2789,160
304,Colorado,"Rio Grande County, CO",Rio,ColoradoRio,5068,385
305,Colorado,"Routt County, CO",Routt,ColoradoRoutt,14929,1277
306,Colorado,"Saguache County, CO",Saguache,ColoradoSaguache,3196,242
307,Colorado,"San Juan County, CO",SanJuan,ColoradoSan,475,34
308,Colorado,"San Miguel County, CO",SanMiguel,ColoradoSan,4818,592
309,Colorado,"Sedgwick County, CO",Sedgwick,ColoradoSedgwick,1126,40
310,Colorado,"Summit County, CO",Summit,ColoradoSummit,20204,2198
311,Colorado,"Teller County, CO",Teller,ColoradoTeller,12016,968
312,Colorado,"Washington County, CO",Washington,ColoradoWashington,2804,91
313,Colorado,"Weld County, CO",Weld,ColoradoWeld,155042,11624
314,Colorado,"Yuma County, CO",Yuma,ColoradoYuma,5445,159
315,Connecticut,Connecticut,Connecticut,ConnecticutConnecticut,1724621,148010
316,Connecticut,"Fairfield County, CT",Fairfield,ConnecticutFairfield,429164,37044
317,Connecticut,"Hartford County, CT",Hartford,ConnecticutHartford,437433,38682
318,Connecticut,"Litchfield County, CT",Litchfield,ConnecticutLitchfield,95102,7007
319,Connecticut,"Middlesex County, CT",Middlesex,ConnecticutMiddlesex,86211,6010
320,Connecticut,"New Haven County, CT",New,ConnecticutNew,420669,36502
321,Connecticut,"New London County, CT",New,ConnecticutNew,119313,12679
322,Connecticut,"Tolland County, CT",Tolland,ConnecticutTolland,79362,5236
323,Connecticut,"Windham County, CT",Windham,ConnecticutWindham,57369,4849
324,Delaware,Delaware,Delaware,DelawareDelaware,446458,37900
325,Delaware,"Kent County, DE",Kent,DelawareKent,72843,6872
326,Delaware,"New Castle County, DE",New,DelawareNew,275601,23039
327,Delaware,"Sussex County, DE",Sussex,DelawareSussex,98014,7990
328,DC,District of Columbia,District,DCDistrict,376839,32895
332,Florida,Florida,Florida,FloridaFlorida,9332838,781491
333,Florida,"Alachua County, FL",Alachua,FloridaAlachua,127696,7235
334,Florida,"Baker County, FL",Baker,FloridaBaker,11179,580
335,Florida,"Bay County, FL",Bay,FloridaBay,77746,5017
336,Florida,"Bradford County, FL",Bradford,FloridaBradford,10150,641
337,Florida,"Brevard County, FL",Brevard,FloridaBrevard,262867,18724
338,Florida,"Broward County, FL",Broward,FloridaBroward,930297,90289
339,Florida,"Calhoun County, FL",Calhoun,FloridaCalhoun,4508,246
340,Florida,"Charlotte County, FL",Charlotte,FloridaCharlotte,65968,5214
341,Florida,"Citrus County, FL",Citrus,FloridaCitrus,42582,3918
342,Florida,"Clay County, FL",Clay,FloridaClay,100004,5654
343,Florida,"Collier County, FL",Collier,FloridaCollier,165287,12210
344,Florida,"Columbia County, FL",Columbia,FloridaColumbia,27840,1726
345,Florida,"DeSoto County, FL",DeSoto,FloridaDeSoto,13615,741
346,Florida,"Dixie County, FL",Dixie,FloridaDixie,5565,321
347,Florida,"Duval County, FL",Duval,FloridaDuval,452481,32633
348,Florida,"Escambia County, FL",Escambia,FloridaEscambia,135108,9671
349,Florida,"Flagler County, FL",Flagler,FloridaFlagler,43083,3553
350,Florida,"Franklin County, FL",Franklin,FloridaFranklin,4429,252
351,Florida,"Gadsden County, FL",Gadsden,FloridaGadsden,17176,1245
352,Florida,"Gilchrist County, FL",Gilchrist,FloridaGilchrist,6683,345
353,Florida,"Glades County, FL",Glades,FloridaGlades,4903,289
354,Florida,"Gulf County, FL",Gulf,FloridaGulf,4724,298
355,Florida,"Hamilton County, FL",Hamilton,FloridaHamilton,3880,319
356,Florida,"Hardee County, FL",Hardee,FloridaHardee,7915,551
357,Florida,"Hendry County, FL",Hendry,FloridaHendry,14332,1257
358,Florida,"Hernando County, FL",Hernando,FloridaHernando,65765,5769
359,Florida,"Highlands County, FL",Highlands,FloridaHighlands,31967,2674
