,State,County,First Word of Each County,Abbreviation,Year,Max AQI,90th Percentile AQI,Median AQI
319,Kentucky,Bullitt,Bullitt,KentuckyBullitt,2020,115,48,37
320,Kentucky,Campbell,Campbell,KentuckyCampbell,2020,93,54,39
321,Kentucky,Carter,Carter,KentuckyCarter,2020,59,44,31
322,Kentucky,Christian,Christian,KentuckyChristian,2020,83,51,38
323,Kentucky,Daviess,Daviess,KentuckyDaviess,2020,105,54,38
324,Kentucky,Edmonson,Edmonson,KentuckyEdmonson,2020,64,45,33
325,Kentucky,Fayette,Fayette,KentuckyFayette,2020,84,51,38
326,Kentucky,Greenup,Greenup,KentuckyGreenup,2020,61,42,28
327,Kentucky,Hancock,Hancock,KentuckyHancock,2020,97,47,37
328,Kentucky,Hardin,Hardin,KentuckyHardin,2020,80,51,38
329,Kentucky,Henderson,Henderson,KentuckyHenderson,2020,114,44,1
330,Kentucky,Jefferson,Jefferson,KentuckyJefferson,2020,115,61,45
331,Kentucky,Jessamine,Jessamine,KentuckyJessamine,2020,77,44,31
332,Kentucky,Livingston,Livingston,KentuckyLivingston,2020,105,47,37
333,Kentucky,McCracken,McCracken,KentuckyMcCracken,2020,111,57,39
334,Kentucky,Morgan,Morgan,KentuckyMorgan,2020,64,44,33
335,Kentucky,Oldham,Oldham,KentuckyOldham,2020,97,49,38
336,Kentucky,Perry,Perry,KentuckyPerry,2020,99,48,34
337,Kentucky,Pike,Pike,KentuckyPike,2020,92,45,32
338,Kentucky,Pulaski,Pulaski,KentuckyPulaski,2020,77,48,36
339,Kentucky,Simpson,Simpson,KentuckySimpson,2020,67,46,36
340,Kentucky,Trigg,Trigg,KentuckyTrigg,2020,84,45,34
341,Kentucky,Warren,Warren,KentuckyWarren,2020,97,53,38
342,Kentucky,Washington,Washington,KentuckyWashington,2020,77,46,34
343,Louisiana,Ascension,Ascension,LouisianaAscension,2020,100,46,31
344,Louisiana,Bossier,Bossier,LouisianaBossier,2020,105,53,36
345,Louisiana,Caddo,Caddo,LouisianaCaddo,2020,126,49,34
346,Louisiana,Calcasieu,Calcasieu,LouisianaCalcasieu,2020,116,61,41
347,Louisiana,East Baton Rouge,East,LouisianaEast,2020,119,55,38
348,Louisiana,Iberville,Iberville,LouisianaIberville,2020,136,54,36
349,Louisiana,Jefferson,Jefferson,LouisianaJefferson,2020,87,54,36
350,Louisiana,Lafayette,Lafayette,LouisianaLafayette,2020,120,59,40
351,Louisiana,Lafourche,Lafourche,LouisianaLafourche,2020,115,56,39
352,Louisiana,Livingston,Livingston,LouisianaLivingston,2020,105,58,39
353,Louisiana,Orleans,Orleans,LouisianaOrleans,2020,88,47,28
354,Louisiana,Ouachita,Ouachita,LouisianaOuachita,2020,111,45,32
355,Louisiana,Pointe Coupee,Pointe,LouisianaPointe,2020,100,45,32
356,Louisiana,Rapides,Rapides,LouisianaRapides,2020,103,49,26
357,Louisiana,St. Bernard,St.,LouisianaSt.,2020,91,55,40
358,Louisiana,St. Charles,St.,LouisianaSt.,2020,77,37,3
359,Louisiana,St. James,St.,LouisianaSt.,2020,90,44,28
360,Louisiana,St. John the Baptist,St.,LouisianaSt.,2020,80,45,31
361,Louisiana,St. Martin,St.,LouisianaSt.,2020,87,48,33
362,Louisiana,St. Tammany,St.,LouisianaSt.,2020,90,52,36
363,Louisiana,Tangipahoa,Tangipahoa,LouisianaTangipahoa,2020,64,49,26
364,Louisiana,Terrebonne,Terrebonne,LouisianaTerrebonne,2020,74,50,27
365,Louisiana,West Baton Rouge,West,LouisianaWest,2020,101,58,38
366,Maine,Androscoggin,Androscoggin,MaineAndroscoggin,2020,66,44,29
367,Maine,Aroostook,Aroostook,MaineAroostook,2020,189,47,33
368,Maine,Cumberland,Cumberland,MaineCumberland,2020,97,53,38
369,Maine,Hancock,Hancock,MaineHancock,2020,105,48,35
370,Maine,Kennebec,Kennebec,MaineKennebec,2020,64,44,35
