County,State,Abbreviation,Male,Female,Median Age,Population (2014-2020)
Walton,Florida,FloridaWalton,33317,32541,43.7,65858
Washington,Florida,FloridaWashington,13231,11335,41.8,24566
Appling,Georgia,GeorgiaAppling,9353,9101,39,18454
Atkinson,Georgia,GeorgiaAtkinson,4208,4057,35.5,8265
Bacon,Georgia,GeorgiaBacon,5564,5664,37,11228
Baker,Georgia,GeorgiaBaker,1521,1668,47,3189
Baldwin,Georgia,GeorgiaBaldwin,22759,22527,35.3,45286
Banks,Georgia,GeorgiaBanks,9281,9229,41.1,18510
Barrow,Georgia,GeorgiaBarrow,37771,39116,35.4,76887
Bartow,Georgia,GeorgiaBartow,51332,52288,37.9,103620
Ben,Georgia,GeorgiaBen,8047,9107,39.7,17154
Berrien,Georgia,GeorgiaBerrien,9299,9726,39.7,19025
Bibb,Georgia,GeorgiaBibb,72065,81425,36.2,153490
Bleckley,Georgia,GeorgiaBleckley,5937,6838,36.8,12775
Brantley,Georgia,GeorgiaBrantley,9103,9458,40.9,18561
Brooks,Georgia,GeorgiaBrooks,7608,8014,43,15622
Bryan,Georgia,GeorgiaBryan,17786,18099,34.6,35885
Bulloch,Georgia,GeorgiaBulloch,36777,38005,28.5,74782
Burke,Georgia,GeorgiaBurke,10697,11853,37.5,22550
Butts,Georgia,GeorgiaButts,12661,11089,38.5,23750
Calhoun,Georgia,GeorgiaCalhoun,3875,2553,38.8,6428
Camden,Georgia,GeorgiaCamden,27019,25695,32.3,52714
Candler,Georgia,GeorgiaCandler,5363,5464,37.8,10827
Carroll,Georgia,GeorgiaCarroll,56448,59574,34.5,116022
Catoosa,Georgia,GeorgiaCatoosa,31991,34308,39.9,66299
Charlton,Georgia,GeorgiaCharlton,7522,5461,41.7,12983
Chatham,Georgia,GeorgiaChatham,138403,148646,35.2,287049
Chattahoochee,Georgia,GeorgiaChattahoochee,7172,3595,23.7,10767
Chattooga,Georgia,GeorgiaChattooga,12865,11952,39.5,24817
Cherokee,Georgia,GeorgiaCherokee,119270,122640,38.3,241910
Clarke,Georgia,GeorgiaClarke,59248,65354,27.7,124602
Clay,Georgia,GeorgiaClay,1473,1528,45.1,3001
Clayton,Georgia,GeorgiaClayton,130748,147918,32.4,278666
Clinch,Georgia,GeorgiaClinch,3427,3316,37.7,6743
Cobb,Georgia,GeorgiaCobb,360270,384787,36.5,745057
Coffee,Georgia,GeorgiaCoffee,22088,20873,36.2,42961
Colquitt,Georgia,GeorgiaColquitt,22554,23052,36.4,45606
Columbia,Georgia,GeorgiaColumbia,71970,75325,36.6,147295
Cook,Georgia,GeorgiaCook,8348,8836,37.4,17184
Coweta,Georgia,GeorgiaCoweta,68430,72086,38.5,140516
Crawford,Georgia,GeorgiaCrawford,6299,6045,44.4,12344
Crisp,Georgia,GeorgiaCrisp,10849,11997,38.8,22846
Dade,Georgia,GeorgiaDade,7932,8295,42.2,16227
Dawson,Georgia,GeorgiaDawson,11774,12087,43.4,23861
